Date,Rate
2014-12-31,0.7994
2015-01-04,0.8001
2015-01-05,0.8001
2015-01-06,0.8017
2015-01-07,0.8012
2015-01-08,0.8013
2015-01-09,0.8012
2015-01-10,0.8009999999999999
2015-01-11,0.8009999999999999
2015-01-12,0.8009999999999999
2015-01-13,0.8001
2015-01-14,0.7994
2015-01-15,0.7988
2015-01-16,0.7979999999999999
2015-01-17,0.8005
2015-01-18,0.8008
2015-01-19,0.8008
2015-01-20,0.802
2015-01-21,0.8017
2015-01-22,0.8014
2015-01-23,0.8009
2015-01-24,0.8034
2015-01-25,0.8033
2015-01-26,0.8033
2015-01-27,0.8069
2015-01-28,0.8056
2015-01-29,0.8058
2015-01-30,0.8058
2015-01-31,0.8062
2015-02-01,0.8063
2015-02-02,0.8063
2015-02-03,0.8074
2015-02-04,0.8068
2015-02-05,0.8059
2015-02-06,0.8065
2015-02-07,0.8054
2015-02-08,0.8053
2015-02-09,0.8053
2015-02-10,0.8059
2015-02-11,0.805
2015-02-12,0.805
2015-02-13,0.8053
2015-02-14,0.8046
2015-02-15,0.8047
2015-02-16,0.8046
2015-02-17,0.8054
2015-02-18,0.8061
2015-02-19,0.8061
2015-02-20,0.8062
2015-02-21,0.8062
2015-02-22,0.8059999999999999
2015-02-23,0.8059999999999999
2015-02-24,0.8064
2015-02-25,0.8064
2015-02-26,0.807
2015-02-27,0.8072
2015-02-28,0.8082
2015-03-01,0.8082
2015-03-02,0.8082
2015-03-03,0.809
2015-03-04,0.8091
2015-03-05,0.8086
2015-03-06,0.8081
2015-03-07,0.8075
2015-03-08,0.8076
2015-03-09,0.8076
2015-03-10,0.8074
2015-03-11,0.807
2015-03-12,0.8063
2015-03-13,0.8059999999999999
2015-03-14,0.8055
2015-03-15,0.8059999999999999
2015-03-16,0.8059999999999999
2015-03-17,0.8063
2015-03-18,0.805
2015-03-19,0.8028
2015-03-20,0.7984
2015-03-21,0.8
2015-03-22,0.7999
2015-03-23,0.7999
2015-03-24,0.8013
2015-03-25,0.8
2015-03-26,0.8008
2015-03-27,0.8009999999999999
2015-03-28,0.8016
2015-03-29,0.8016
2015-03-30,0.8016
2015-03-31,0.8003
2015-04-01,0.7994
2015-04-02,0.7994
2015-04-03,0.7993
2015-04-04,0.7994
2015-04-05,0.7993
2015-04-06,0.7993
2015-04-07,0.7994
2015-04-08,0.7996
2015-04-09,0.8001
2015-04-10,0.8006
2015-04-11,0.8012
2015-04-12,0.8012
2015-04-13,0.8012
2015-04-14,0.8019
2015-04-15,0.8013
2015-04-16,0.8003
2015-04-17,0.7994
2015-04-18,0.7994
2015-04-19,0.7993
2015-04-20,0.7993
2015-04-21,0.8002
2015-04-22,0.8002
2015-04-23,0.7994
2015-04-24,0.7998
2015-04-25,0.7993
2015-04-26,0.7993
2015-04-27,0.7993
2015-04-28,0.8024
2015-04-29,0.8008
2015-04-30,0.8
2015-05-01,0.8
2015-05-02,0.8
2015-05-03,0.7999
2015-05-04,0.7999
2015-05-05,0.8008
2015-05-06,0.8005
2015-05-07,0.7997
2015-05-08,0.8007
2015-05-09,0.8007
2015-05-10,0.8007
2015-05-11,0.8007
2015-05-12,0.8014
2015-05-13,0.8009999999999999
2015-05-14,0.8004
2015-05-15,0.8001
2015-05-16,0.8007
2015-05-17,0.8007
2015-05-18,0.8007
2015-05-19,0.8004
2015-05-20,0.8007
2015-05-21,0.8002
2015-05-22,0.7992
2015-05-23,0.7995
2015-05-24,0.7995
2015-05-25,0.7995
2015-05-26,0.8001
2015-05-27,0.8003
2015-05-28,0.7993
2015-05-29,0.7998
2015-05-30,0.7995
2015-05-31,0.7995
2015-06-01,0.7995
2015-06-02,0.7993
2015-06-03,0.7991
2015-06-04,0.7994
2015-06-05,0.7998
2015-06-06,0.8001
2015-06-07,0.8002
2015-06-08,0.8002
2015-06-09,0.8005
2015-06-10,0.8004
2015-06-11,0.8005
2015-06-12,0.8006
2015-06-13,0.8008
2015-06-14,0.8008
2015-06-15,0.8008
2015-06-16,0.8009
2015-06-17,0.8009
2015-06-18,0.8009
2015-06-19,0.8007
2015-06-20,0.8011
2015-06-21,0.8011
2015-06-22,0.8011
2015-06-23,0.8011
2015-06-24,0.8006
2015-06-25,0.8007
2015-06-26,0.8009999999999999
2015-06-27,0.8009
2015-06-28,0.8009
2015-06-29,0.8009
2015-06-30,0.8008
